-5,-5,3,1,'(4,)',4
-5,-5,3,2,'(4, 4)',16
-5,-5,3,3,'(28,)',28
-5,-5,3,4,'(8, 8)',64
-5,-5,3,5,'(244,)',244
-5,-5,3,6,'(28, 28)',784
-5,-5,3,7,'(2188,)',2188
-5,-5,3,8,'(80, 80)',6400
-5,-5,3,9,'(19684,)',19684
-5,-5,3,10,'(244, 244)',59536
-5,-5,11,1,'(7,)',7
-5,-5,11,2,'(119,)',119
-5,-5,11,3,'(98, 14)',1372
-5,-5,11,4,'(2975, 5)',14875
-5,-5,11,5,'(161777,)',161777
-5,-5,11,6,'(63308, 28)',1772624
-5,-5,11,7,'(19484507,)',19484507
-5,-5,11,8,'(14288925, 15)',214333875
-5,-5,11,9,'(168417998, 14)',2357851972
-5,-5,11,10,'(25937221079,)',25937221079
-5,-5,13,1,'(20,)',20
-5,-5,13,2,'(80, 2)',160
-5,-5,13,3,'(2180,)',2180
-5,-5,13,4,'(480, 60)',28800
-5,-5,13,5,'(370100,)',370100
-5,-5,13,6,'(2415440, 2)',4830880
-5,-5,13,7,'(62739620,)',62739620
-5,-5,13,8,'(6797760, 120)',815731200
-5,-5,13,9,'(10604612180,)',10604612180
-5,-5,13,10,'(68928904400, 2)',137857808800
-5,-5,17,1,'(14,)',14
-5,-5,17,2,'(154, 2)',308
-5,-5,17,3,'(5054,)',5054
-5,-5,17,4,'(10472, 8)',83776
-5,-5,17,5,'(1418494,)',1418494
-5,-5,17,6,'(1723414, 14)',24127796
-5,-5,17,7,'(410322766,)',410322766
-5,-5,17,8,'(48443472, 144)',6975859968
-5,-5,17,9,'(6241503002, 19)',118588557038
-5,-5,17,10,'(91636130894, 22)',2015994879668
-5,-5,19,1,'(14,)',14
-5,-5,19,2,'(182, 2)',364
-5,-5,19,3,'(6986,)',6986
-5,-5,19,4,'(10920, 12)',131040
-5,-5,19,5,'(2478014,)',2478014
-5,-5,19,6,'(3360266, 14)',47043724
-5,-5,19,7,'(893822426,)',893822426
-5,-5,19,8,'(707637840, 24)',16983308160
-5,-5,19,9,'(322687105454,)',322687105454
-5,-5,19,10,'(278684888482, 22)',6131067546604
-5,-5,23,1,'(27,)',27
-5,-5,23,2,'(189, 3)',567
-5,-5,23,3,'(5994, 2)',11988
-5,-5,23,4,'(93177, 3)',279531
-5,-5,23,5,'(6441417,)',6441417
-5,-5,23,6,'(587412, 252)',148027824
-5,-5,23,7,'(3404732967,)',3404732967
-5,-5,23,8,'(26103816081, 3)',78311448243
-5,-5,23,9,'(900576699822, 2)',1801153399644
-5,-5,23,10,'(1255348434879, 33)',41426498351007
-5,-5,29,1,'(33,)',33
-5,-5,29,2,'(297, 3)',891
-5,-5,29,3,'(12078, 2)',24156
-5,-5,29,4,'(235521, 3)',706563
-5,-5,29,5,'(20520093,)',20520093
-5,-5,29,6,'(8261352, 72)',594817344
-5,-5,29,7,'(17249634897,)',17249634897
-5,-5,29,8,'(23821300503, 21)',500247310563
-5,-5,29,9,'(7253575142022, 2)',14507150284044
-5,-5,29,10,'(12748702858947, 33)',420707194345251
-5,-5,31,1,'(34,)',34
-5,-5,31,2,'(510, 2)',1020
-5,-5,31,3,'(29614,)',29614
-5,-5,31,4,'(230520, 4)',922080
-5,-5,31,5,'(2603414, 11)',28637554
-5,-5,31,6,'(49307310, 18)',887531580
-5,-5,31,7,'(27512297854,)',27512297854
-5,-5,31,8,'(106611350640, 8)',852890805120
-5,-5,31,9,'(26439632429314,)',26439632429314
-5,-5,31,10,'(7451166124050, 110)',819628273645500
-5,-5,37,1,'(31,)',31
-5,-5,37,2,'(1395,)',1395
-5,-5,37,3,'(12772, 4)',51088
-5,-5,37,4,'(375255, 5)',1876275
-5,-5,37,5,'(69342691,)',69342691
-5,-5,37,6,'(3448440, 744)',2565639360
-5,-5,37,7,'(94931314663,)',94931314663
-5,-5,37,8,'(702495747495, 5)',3512478737475
-5,-5,37,9,'(32490438897844, 4)',129961755591376
-5,-5,37,10,'(4808584509500475,)',4808584509500475
-5,-5,41,1,'(46,)',46
-5,-5,41,2,'(874, 2)',1748
-5,-5,41,3,'(68494,)',68494
-5,-5,41,4,'(353096, 8)',2824768
-5,-5,41,5,'(115877726,)',115877726
-5,-5,41,6,'(475005890, 10)',4750058900
-5,-5,41,7,'(194753572766,)',194753572766
-5,-5,41,8,'(166352706096, 48)',7984929892608
-5,-5,41,9,'(327381944485774,)',327381944485774
-5,-5,41,10,'(6711329539291114, 2)',13422659078582228
-5,-5,43,1,'(37,)',37
-5,-5,43,2,'(1887,)',1887
-5,-5,43,3,'(40034, 2)',80068
-5,-5,43,4,'(13209, 259)',3421131
-5,-5,43,5,'(147000667,)',147000667
-5,-5,43,6,'(526767372, 12)',6321208464
-5,-5,43,7,'(271817863417,)',271817863417
-5,-5,43,8,'(2654599521, 4403)',11688201690963
-5,-5,43,9,'(251296326990542, 2)',502592653981084
-5,-5,43,10,'(1964680231529037, 11)',21611482546819407
-5,-5,47,1,'(46,)',46
-5,-5,47,2,'(1150, 2)',2300
-5,-5,47,3,'(104098,)',104098
-5,-5,47,4,'(243800, 20)',4876000
-5,-5,47,5,'(20847706, 11)',229324766
-5,-5,47,6,'(5389673950, 2)',10779347900
-5,-5,47,7,'(506624336978,)',506624336978
-5,-5,47,8,'(198427357200, 120)',23811282864000
-5,-5,47,9,'(1119130408331086,)',1119130408331086
-5,-5,47,10,'(2390869649308250, 22)',52599132284781500
-5,-5,53,1,'(32, 2)',64
-5,-5,53,2,'(704, 4)',2816
-5,-5,53,3,'(74144, 2)',148288
