      1            2                3                   4                      5                         6                            7                               8                                  9                                     10                                       11                                          12                                             13                                                14                                                    15                                                       16                                                          17                                                             18                                                                19                                                                   20
 181  Z/82 + Z/2   Z/1640 + Z/20    Z/2966842 + Z/2     Z/2981520 + Z/360      Z/97132342402 + Z/2       Z/1758091232360 + Z/20       Z/3182145390670762 + Z/2        Z/1599912022033440 + Z/720         Z/104250267528592335922 + Z/2         Z/377385968471507192200 + Z/100          Z/3415343014652049029161882 + Z/2           Z/88059413910482380145520 + Z/14040            Z/111890052502932031160584012642 + Z/2            Z/69834825872519602289141652040 + Z/580               Z/333239091822595873818351539308382 + Z/22               Z/7743686179024140983919695977920 + Z/171360                Z/120089704759200700450543675547872044562 + Z/2                Z/2173623656141532678141378277937466750440 + Z/20                 Z/3934258817616174147408015942829455220553722 + Z/2                  Z/791223162209475022978192705554906603771600 + Z/1800
 191  Z/192        Z/192 + Z/192    Z/6967872           Z/36480 + Z/36480      Z/254194901952            Z/6967872 + Z/6967872        Z/9273284218074432              Z/1330863360 + Z/1330863360        Z/338298681559573317312               Z/254194901952 + Z/254194901952          Z/12341474201974794188822592                Z/48551226272640 + Z/48551226272640            Z/450229320362242466802436942272                  Z/9273284218074432 + Z/9273284218074432               Z/16424815836134967431419702090988352                    Z/1771197285652216320 + Z/1771197285652216320               Z/599193706518039746865622151981346032832                      Z/338298681559573317312 + Z/338298681559573317312                 Z/21859185607484608005404761726431484623707712                       Z/64615048177878503606400 + Z/64615048177878503606400
 193  Z/52 + Z/4   Z/1560 + Z/24    Z/1795924 + Z/4     Z/5781360 + Z/240      Z/66946420372 + Z/4       Z/717812863560 + Z/72        Z/2493682607812084 + Z/4        Z/4010672821290720 + Z/480         Z/92887182468710610292 + Z/4          Z/2987871036398633587800 + Z/24          Z/3459954660136558358023444 + Z/4           Z/40767475543721976656880 + Z/65520            Z/128879851135395211132857881812 + Z/4            Z/4145635211521873315492928224920 + Z/24              Z/4800645574942328802072846315726004 + Z/4               Z/227089361755850360951460258640320 + Z/16320               Z/178819247021026808129244003997055306932 + Z/4                Z/639113234723299517919298526420665081560 + Z/216                 Z/6660838132286227575792143010561061024535764 + Z/4                  Z/4285139198437473073758712963153154885866800 + Z/1200
 197  Z/14 + Z/14  Z/1400 + Z/28    Z/546182 + Z/14     Z/5378800 + Z/280      Z/21193492894 + Z/14      Z/2087562222200 + Z/28       Z/4051720823234 + Z/2842        Z/1350269715127200 + Z/1680        Z/31920376099474400174 + Z/14         Z/3144157045992324467000 + Z/28          Z/1238797876115080347936422 + Z/14          Z/938627621517625245060400 + Z/3640            Z/48076506774133749934274273854 + Z/14            Z/23327763139173320431004098600 + Z/5684              Z/98200060599861071547717463314418 + Z/266               Z/90088928143450977127201291579200 + Z/57120                Z/72409876884580157398106329516828825934 + Z/14                Z/192766834408949878490325589420695387800 + Z/1036                Z/2810154912013671328629278373158294909637062 + Z/14                 Z/135024516504071524814583806212925513374000 + Z/57400
 199  Z/200        Z/200 + Z/200    Z/7880600           Z/39600 + Z/39600      Z/312079601000            Z/7880600 + Z/7880600        Z/12358664279161400             Z/1568239200 + Z/1568239200        Z/489415464119070561800               Z/312079601000 + Z/312079601000          Z/19381341794579313317802200                Z/62103840598800 + Z/62103840598800            Z/767520516407135386698284882600                  Z/12358664279161400 + Z/12358664279161400             Z/30394579970238968448638779635803000                    Z/2459374191553118400 + Z/2459374191553118400               Z/1203655761401433389534544312357434563400                     Z/489415464119070561800 + Z/489415464119070561800                 Z/47665971807258163658957489313666766145163800                       Z/97393677359695041798000 + Z/97393677359695041798000
 211  Z/212        Z/212 + Z/212    Z/9393932           Z/44520 + Z/44520      Z/418227202052            Z/9393932 + Z/9393932        Z/18619893262512572             Z/1982119440 + Z/1982119440        Z/828976267940322173492               Z/418227202052 + Z/418227202052          Z/36906852424971083485992812                Z/88245939632760 + Z/88245939632760            Z/1643129976812137607879885938532                 Z/18619893262512572 + Z/18619893262512572             Z/73153789697653178440420401869338652                    Z/3928797478390152480 + Z/3928797478390152480               Z/3256879871129217157345956711624826081172                     Z/828976267940322173492 + Z/828976267940322173492                 Z/144999548742543877062199338758248881959814092                      Z/174913992535407978606600 + Z/174913992535407978606600
 223  Z/224        Z/224 + Z/224    Z/11089568          Z/49728 + Z/49728      Z/551473077344            Z/11089568 + Z/11089568      Z/27424204663190048             Z/2472973440 + Z/2472973440        Z/1363778273695777847264              Z/551473077344 + Z/551473077344          Z/67819329772617336566541728                Z/122978496247488 + Z/122978496247488          Z/3372587450262487530117553541984                 Z/27424204663190048 + Z/27424204663190048             Z/167715401314103242385215820089272608                   Z/6115597639891380480 + Z/6115597639891380480               Z/8340319191949040140574397517219437473504                     Z/1363778273695777847264 + Z/1363778273695777847264               Z/414755733096433817150624214133805406119830688                      Z/304122555034158459939648 + Z/304122555034158459939648
 227  Z/228        Z/228 + Z/228    Z/11697084          Z/51528 + Z/51528      Z/602738989908            Z/11697084 + Z/11697084      Z/31058537410917804             Z/2655237840 + Z/2655237840        Z/1600415374247183470788              Z/602738989908 + Z/602738989908          Z/82467803819583117066183324                Z/136821750708888 + Z/136821750708888          Z/4249483463019298439303360450868                 Z/31058537410917804 + Z/31058537410917804             Z/218971633365921429278862860672725644                   Z/7050287992278341280 + Z/7050287992278341280               Z/11283389295712565329310524347604879658148                    Z/1600415374247183470788 + Z/1600415374247183470788               Z/581421767018772778854042009107731843904656764                      Z/363294289954110647868648 + Z/363294289954110647868648
 229  Z/130 + Z/2  Z/2600 + Z/20    Z/6007690 + Z/2     Z/1762800 + Z/1560     Z/314882321650 + Z/2      Z/7210789999400 + Z/20       Z/16512711132798010 + Z/2       Z/2423981296869600 + Z/3120        Z/23403866995045825210 + Z/74         Z/3966019300907093053000 + Z/100         Z/45410920995422307272461930 + Z/2          Z/4444060217073275951240400 + Z/4680           Z/2381394107920884665390642961490 + Z/2           Z/54533925071388267351413186695400 + Z/20             Z/124882688413479129906303556321447450 + Z/2             Z/23442632014137583447192855387200 + Z/2439840              Z/6548973063091259061970518627412318975810 + Z/2               Z/4053283328237563041105517041178639281800 + Z/740                Z/343434696401568716472560523053205461168842570 + Z/2                Z/1061356889014294683835648898286112459866000 + Z/148200
 233  Z/52 + Z/4   Z/520 + Z/104    Z/3162484 + Z/4     Z/2834000 + Z/1040     Z/171680348372 + Z/4      Z/1538516841160 + Z/104      Z/9320333643511124 + Z/4        Z/1392075463116000 + Z/6240        Z/505991589226593263092 + Z/4         Z/4534463088109935814600 + Z/104         Z/27469777387822492614832564 + Z/4          Z/403559781296579971466000 + Z/63440           Z/1491306744607772518891244472212 + Z/4           Z/460841474129457790358867681960 + Z/3016             Z/80961551858011404208601769474182804 + Z/4              Z/355656892588926416989227509016000 + Z/212160              Z/4395321688819581116836338277453742263732 + Z/4               Z/39388844365190861546473923937480484703880 + Z/104               Z/238617619164326239248340269946980960271737844 + Z/4                Z/42767619434836933649893464647888324586970000 + Z/5200
 239  Z/240        Z/240 + Z/240    Z/13651920          Z/57120 + Z/57120      Z/779811265200            Z/13651920 + Z/13651920      Z/44543599279432080             Z/3262808640 + Z/3262808640        Z/2544374934440439784560              Z/779811265200 + Z/779811265200          Z/145337240630172360933794640               Z/186374892382560 + Z/186374892382560          Z/8301808522036075428899283574320                 Z/44543599279432080 + Z/44543599279432080             Z/474207604587222664574155977048675600                   Z/10645920227784266880 + Z/10645920227784266880             Z/27087212581626745823140363564997398890480                    Z/2544374934440439784560 + Z/2544374934440439784560               Z/1547248669875101348163600707196216422023050960                     Z/608105609331265108509600 + Z/608105609331265108509600
 241  Z/68 + Z/4   Z/7208 + Z/8     Z/3500708 + Z/4     Z/14055600 + Z/240     Z/203247623588 + Z/4      Z/24491324243048 + Z/8       Z/11804818270022468 + Z/4       Z/2155273644295200 + Z/5280        Z/685635651505007058308 + Z/4         Z/82619096008735072973288 + Z/8          Z/39822404276119983680009828 + Z/4          Z/4101367278011315265579600 + Z/9360           Z/2312925062761676048713583456228 + Z/4           Z/9610602415958005238723148089032 + Z/232             Z/134337000570260991988493022358518788 + Z/4             Z/721372930869717003915700849243200 + Z/179520              Z/7802427330121328690979687942846259889348 + Z/4               Z/940192493279620107266030647387577647692968 + Z/8                Z/453172781760776891702224692837707533841165348 + Z/4                Z/8879239057264002512214209579947016554518000 + Z/49200
 251  Z/252        Z/252 + Z/252    Z/15813252          Z/63000 + Z/63000      Z/996250626252            Z/15813252 + Z/15813252      Z/62764785704439252             Z/3969126000 + Z/3969126000        Z/3954244264165377252252              Z/996250626252 + Z/996250626252          Z/249121342886682932269065252               Z/250058907189000 + Z/250058907189000          Z/15694893723203911415883379878252                Z/62764785704439252 + Z/62764785704439252             Z/988793999455569623112068815709691252                   Z/15753961211814252000 + Z/15753961211814252000             Z/62295010759700341825683447458526258504252                    Z/3954244264165377252252 + Z/3954244264165377252252               Z/3924647972871881235359882873334612812026317252                     Z/992515310305509690315000 + Z/992515310305509690315000
 257  Z/16 + Z/16  Z/2080 + Z/32    Z/1061008 + Z/16    Z/13632320 + Z/320     Z/70072140176 + Z/16      Z/692636632480 + Z/416       Z/4628197485114128 + Z/16       Z/9912056245802880 + Z/1920        Z/305687814738935973136 + Z/16        Z/39280884194608518810400 + Z/32         Z/20190374476000977239029648 + Z/16         Z/19957408616660995196125760 + Z/4160          Z/1333554043765294059173633034896 + Z/16          Z/171361694623840343387308127702560 + Z/32            Z/8007264639695812281240641433072688 + Z/176             Z/5548170866769622864476891568193280 + Z/65280              Z/5817590044059955751073595607000566141456 + Z/16              Z/57504640050900331847489764935809830433440 + Z/416               Z/384246004820116017404867738446391361282655888 + Z/16               Z/987512232387698164730486243459588991044161600 + Z/1600
 263  Z/264        Z/264 + Z/264    Z/18191448          Z/69168 + Z/69168      Z/1258284197544           Z/18191448 + Z/18191448      Z/87034259659851768             Z/4784350560 + Z/4784350560        Z/6020072706412286871624              Z/1258284197544 + Z/1258284197544        Z/416402409029831470623291288               Z/330928743953808 + Z/330928743953808          Z/28802138230184412991542435030504                Z/87034259659851768 + Z/87034259659851768             Z/1992215099243625662211998688624862008                  Z/22890010290541014720 + Z/22890010290541014720             Z/137799526199582343429541737293493080162184                   Z/6020072706412286871624 + Z/6020072706412286871624               Z/9531455427698911112677972426853622861738035928                     Z/1583279121786431447236848 + Z/1583279121786431447236848
 269  Z/122 + Z/2  Z/18056 + Z/4    Z/9734258 + Z/2     Z/130906000 + Z/40     Z/704258551882 + Z/2      Z/2560070916968 + Z/148      Z/50960768036379778 + Z/2       Z/114237054905244000 + Z/240       Z/3687572132977492626842 + Z/2        Z/495978451895513170680776 + Z/4         Z/266836407120137045082951698 + Z/2         Z/7461433837351412507914000 + Z/19240          Z/19308549255621240654858925649002 + Z/2          Z/2596999874881056398444964439700936 + Z/4            Z/22904687421082103562264851299873738 + Z/122            Z/92118386248170646312296738335544000 + Z/8160              Z/101101771275092247737039599889853196722362 + Z/2             Z/367518600986483981638872325537020327516008 + Z/148              Z/7315825271236950138504704997946559043366626738 + Z/2               Z/479989511698229167623852755866850381876530000 + Z/8200
 271  Z/272        Z/272 + Z/272    Z/19902512          Z/73440 + Z/73440      Z/1461660310352           Z/19902512 + Z/19902512      Z/107345794852487792            Z/5393580480 + Z/5393580480        Z/7883582519761555858832              Z/1461660310352 + Z/1461660310352        Z/578978183833808423828407472               Z/396109944105120 + Z/396109944105120          Z/42520736798938724454382073077712                Z/107345794852487792 + Z/107345794852487792           Z/3122765431250858862654273828900173552                  Z/29090710405024191360 + Z/29090710405024191360             Z/229339016036494325732192524268257645758992                   Z/7883582519761555858832 + Z/7883582519761555858832               Z/16842886676736179776097951174785109762186058032                    Z/2136450862855381637743200 + Z/2136450862855381637743200
 277  Z/130 + Z/2  Z/19240 + Z/4    Z/1518790 + Z/14    Z/49062000 + Z/120     Z/815396153650 + Z/2      Z/1241015459320 + Z/364      Z/62564558746074970 + Z/2       Z/6279124220148000 + Z/5520        Z/685788006949476413710 + Z/14        Z/664871472725866475204200 + Z/4         Z/368338795889749710874872010 + Z/2         Z/6228928355400505422486000 + Z/32760          Z/28262267469824595541212035299090 + Z/2          Z/3914324044570707421395960364405480 + Z/4            Z/309790788670310274003403151239400950 + Z/14            Z/6401154510142067571298969381608000 + Z/187680             Z/166389561967189658977668315387968108115010 + Z/2             Z/253241256400612832619574030702855600829560 + Z/364              Z/12766904700180495343684783523208023653300622890 + Z/2              Z/193247683166666514218619002897516333319510000 + Z/36600
 281  Z/68 + Z/4   Z/9928 + Z/8     Z/5548868 + Z/4     Z/77934800 + Z/80      Z/437996815588 + Z/4      Z/61538644073608 + Z/8       Z/1192576513403252 + Z/116      Z/680553639040800 + Z/57120        Z/2730843975625701781508 + Z/4        Z/383683578577940399434888 + Z/8         Z/215630171161044320958108548 + Z/4         Z/233046454216363272645664400 + Z/1040         Z/17026373945047442716049011345828 + Z/4          Z/82489846182040181781086566533992 + Z/232            Z/1344419513074890890362428895629727588 + Z/4            Z/13227656973881104359608512504833600 + Z/114240            Z/106156709171906459684451445200825619716548 + Z/4             Z/14915017638652857585625786405197184538258248 + Z/8              Z/8382239912922905963120611474617346788529407428 + Z/4               Z/23554094155313365756369032981212213124049834000 + Z/400
 283  Z/284        Z/284 + Z/284    Z/22665188          Z/80088 + Z/80088      Z/1815232161644           Z/22665188 + Z/22665188      Z/145380128593826228            Z/6414247920 + Z/6414247920        Z/11643349118950948694204             Z/1815232161644 + Z/1815232161644        Z/932504187587662529970024068               Z/513710701744968 + Z/513710701744968          Z/74683327879708304362769257501964                Z/145380128593826228 + Z/145380128593826228           Z/5981313046557958388109827064074714708                  Z/41142576392052822240 + Z/41142576392052822240             Z/479037380585780329345327939734679826168924                   Z/11643349118950948694204 + Z/11643349118950948694204             Z/38365624773734560796937969365410772598042874148                    Z/3295067800663118480459448 + Z/3295067800663118480459448
 293  Z/130 + Z/2  Z/21320 + Z/4    Z/12572170 + Z/2    Z/184247440 + Z/40     Z/1079711217650 + Z/2     Z/158177863205960 + Z/4      Z/92692233169190330 + Z/2       Z/13313149215830880 + Z/4080       Z/7957535550503153478370 + Z/2        Z/1165778958157423916126600 + Z/4        Z/683146469480486327268998890 + Z/2         Z/769853521376097729692963920 + Z/520          Z/1106555495442097265356666297930 + Z/106         Z/8591850144360164299962875097599240 + Z/4            Z/5034824184595056276634458758398141850 + Z/2            Z/51652783126272811235935240942927680 + Z/57120             Z/432234621423300986242836178556049404441410 + Z/2             Z/867429753952241020335945534600949165863560 + Z/292              Z/37106910014568966367928857758337928852424523210 + Z/2              Z/108723246342687071458031099972987819004588117200 + Z/200
 307  Z/308        Z/308 + Z/308    Z/28934444          Z/94248 + Z/94248      Z/2727042318308           Z/28934444 + Z/28934444      Z/257021011458116444            Z/8882874000 + Z/8882874000        Z/24223973308916016636308             Z/2727042318308 + Z/2727042318308        Z/2283085260392025651955298444              Z/837201991720248 + Z/837201991720248          Z/215178502706688025671134922954308               Z/257021011458116444 + Z/257021011458116444           Z/20280358701602639731478795353520480444                 Z/78905450517641748000 + Z/78905450517641748000             Z/1911403527267347192052144983273951761272308                  Z/24223973308916016636308 + Z/24223973308916016636308             Z/180147871041420205503722612528586679548153662444                   Z/7436759805837217107346248 + Z/7436759805837217107346248
 311  Z/312        Z/312 + Z/312    Z/30080232          Z/96720 + Z/96720      Z/2909390022552           Z/30080232 + Z/30080232      Z/281399112371155272            Z/9354951840 + Z/9354951840        Z/27217203547650508966392             Z/2909390022552 + Z/2909390022552        Z/2632475144332304877738303912              Z/904820297013360 + Z/904820297013360          Z/254615628434964860079726492575832               Z/281399112371155272 + Z/281399112371155272           Z/24626678197858236231771226088426950152                 Z/87515123947429289280 + Z/87515123947429289280             Z/2381916941975046466573144758498743045554872                  Z/27217203547650508966392 + Z/27217203547650508966392             Z/230381388544768469293421134186756926109112677992                   Z/8464550303319308288547600 + Z/8464550303319308288547600
 313  Z/24 + Z/12  Z/4080 + Z/24    Z/851976 + Z/36     Z/3076320 + Z/3120     Z/250346116824 + Z/12     Z/13059710070480 + Z/72      Z/24526135088530008 + Z/12      Z/14762846720955840 + Z/6240       Z/266977881416921944536 + Z/108       Z/376038345979671095564400 + Z/24        Z/235400004583338104411451288 + Z/12        Z/94461796711005162015526560 + Z/9360          Z/23061903049024759414887055560024 + Z/12         Z/3609187827172374442763544819198960 + Z/24           Z/753117193269968797619374065231101256 + Z/36            Z/39998701610888048699232526004077440 + Z/212160            Z/221346414922396719417346342024938313862424 + Z/12            Z/3848968215039454065428376801882170020045680 + Z/216             Z/21685086923532284204624468477125100192745671448 + Z/12             Z/847443872381557059424351565702188481877600 + Z/96111600
 317  Z/170 + Z/2  Z/25160 + Z/4    Z/15922370 + Z/2    Z/252455440 + Z/40     Z/1600538865850 + Z/2     Z/36240778978040 + Z/28      Z/160836584303418130 + Z/2      Z/424876641989950560 + Z/240       Z/16162307463094243923530 + Z/2       Z/2561725732910060123601800 + Z/4        Z/1624134114663985231742808290 + Z/2        Z/282884897993680802927139760 + Z/3640         Z/163207613048474170842814454437210 + Z/2         Z/25868406668183153930919665698499720 + Z/4           Z/16400569827628119696716947117466892850 + Z/2           Z/1274259959646596554637643973155514560 + Z/8160            Z/1648076861408522119893641375623707506790890 + Z/2            Z/1008572133333014501943738614863725072657560 + Z/1036            Z/165613595726080979306164915772144021196197591810 + Z/2             Z/47726827131970609490958442439832824201295593200 + Z/2200
 331  Z/332        Z/332 + Z/332    Z/36264692          Z/109560 + Z/109560    Z/3973195810652           Z/36264692 + Z/36264692      Z/435307306210734212            Z/12003612720 + Z/12003612720      Z/47692703775754250891372             Z/3973195810652 + Z/3973195810652        Z/5225260318375411481909498132              Z/1315127813325480 + Z/1315127813325480        Z/572484745741528457369486524730492               Z/435307306210734212 + Z/435307306210734212           Z/62722001228187599317858313135997324452                 Z/144086718355753023840 + Z/144086718355753023840           Z/6871885176561461568863874645493002864176012                  Z/47692703775754250891372 + Z/47692703775754250891372             Z/752890611829250290946294970034858886801987941172                   Z/15786284949774657045043800 + Z/15786284949774657045043800
 337  Z/40 + Z/8   Z/7120 + Z/16    Z/4785640 + Z/8     Z/26870880 + Z/480     Z/543324500200 + Z/8      Z/91550221614160 + Z/16      Z/61704852509502760 + Z/8       Z/24755399194102080 + Z/6720       Z/7007758403299891144360 + Z/8        Z/1180807290946325577931600 + Z/16       Z/795864114097664939797842280 + Z/8         Z/114618036944836228040434080 + Z/18720        Z/90385491573959072522783233884520 + Z/8          Z/15229955330212104176840782274783440 + Z/16          Z/10264989892562958191256212664327404200 + Z/8           Z/121124005384934065466200014254705280 + Z/228480           Z/1165784637108482598568614436440247284752680 + Z/8            Z/196434711352779317858888927164804696003433680 + Z/16            Z/132396995451773260236895685681088004138016268520 + Z/8             Z/148725958224158628999446252628152783252859602400 + Z/2400
 347  Z/348        Z/348 + Z/348    Z/41781924          Z/120408 + Z/120408    Z/5030919566508           Z/41781924 + Z/41781924      Z/605767994083541364            Z/14498327280 + Z/14498327280      Z/72939918399605131977468             Z/5030919566508 + Z/5030919566508        Z/8782622634578054336274824004              Z/1745729089577928 + Z/1745729089577928        Z/1057506808806908944576515283377228              Z/605767994083541364 + Z/605767994083541364           Z/127333337341631099107513628756168525844                Z/210201493946988852960 + Z/210201493946988852960           Z/15332079815968459012436608524901496028229788                 Z/72939918399605131977468 + Z/72939918399605131977468             Z/1846120398560946181228479595874864235263120422884                  Z/25310151684662980796181048 + Z/25310151684662980796181048
 349  Z/170 + Z/2  Z/2040 + Z/60    Z/21259010 + Z/2    Z/123628080 + Z/120    Z/2588789665850 + Z/2     Z/10038759630120 + Z/180     Z/315317441548244690 + Z/2      Z/53944013159856480 + Z/4080       Z/38405979606202522419530 + Z/2       Z/89357912550816784570200 + Z/300        Z/4677886722036915070942414370 + Z/2        Z/697684814526016982267862480 + Z/4680         Z/569771280630816414443207865653210 + Z/2         Z/6628339231338497458717996082667960 + Z/60           Z/69398711752114068558375209342039160050 + Z/2           Z/848044481844811272066937874866793280 + Z/57120            Z/8452832490119245665626673599086089041958890 + Z/2            Z/10926068663154136064082573367329224843250360 + Z/540            Z/1029563450129014241318495193407090600457947473730 + Z/2            Z/1197725480316753234067184197105833496230094940400 + Z/600
 353  Z/40 + Z/8   Z/7760 + Z/16    Z/5497960 + Z/8     Z/97046560 + Z/160     Z/685146996200 + Z/8      Z/113334947440 + Z/17072     Z/85375439380739240 + Z/8       Z/14773299035401920 + Z/16320      Z/10638548100149560225960 + Z/8       Z/1877703739667798635662800 + Z/16       Z/1325658840205313219023788520 + Z/8        Z/1686819878135954322057440 + Z/2219360        Z/165189022419144270005086431369320 + Z/8         Z/29155862456978964925763373509648720 + Z/16          Z/20584038894627149294339977269073269800 + Z/8           Z/1780922972991025417140936779126087040 + Z/32640           Z/2564956502620594446798152014028853778986280 + Z/8            Z/424287556431616607178957845416958255668720 + Z/17072            Z/319616664835049653421123021330761122796949087080 + Z/8             Z/1128246826867725276576563645789306838860534640800 + Z/800
 359  Z/360        Z/360 + Z/360    Z/46268280          Z/128880 + Z/128880    Z/5963102065800           Z/46268280 + Z/46268280      Z/768530557342240920            Z/16610312160 + Z/16610312160      Z/99048986760825351881640             Z/5963102065800 + Z/5963102065800        Z/12765532462721932175857515960             Z/2140753641621840 + Z/2140753641621840        Z/1645234589328065340756692514311880              Z/768530557342240920 + Z/768530557342240920           Z/212039479107190389182063287937029277400                Z/275902470085864489920 + Z/275902470085864489920           Z/27327860106813804548173498612612270300460520                 Z/99048986760825351881640 + Z/99048986760825351881640             Z/3522041938426269943973148674692082008593652149240                  Z/35558586247136301325508400 + Z/35558586247136301325508400
 367  Z/368        Z/368 + Z/368    Z/49430864          Z/134688 + Z/134688    Z/6657793506608           Z/49430864 + Z/49430864      Z/896731549611390224            Z/18141126720 + Z/18141126720      Z/120779875685608537745648            Z/6657793506608 + Z/6657793506608        Z/16267720676218928340423448784             Z/2443410216924768 + Z/2443410216924768        Z/2191083030159251239243293893133488              Z/896731549611390224 + Z/896731549611390224           Z/295114782249119390162440011172256230544                Z/329100478707380211840 + Z/329100478707380211840           Z/39748714906351641541588882664780019435606128                 Z/120779875685608537745648 + Z/120779875685608537745648           Z/5353714662021596247595065017236556037762353639504                  Z/44326214376618333352652448 + Z/44326214376618333352652448
 373  Z/194 + Z/2  Z/11640 + Z/12   Z/25941098 + Z/2    Z/161307120 + Z/120    Z/3610060446194 + Z/2     Z/74808419590440 + Z/36      Z/502263740394854618 + Z/2      Z/141927557106260640 + Z/2640      Z/69879452009655011935394 + Z/2       Z/4344172599937074227686200 + Z/12       Z/9722258278661555795599707338 + Z/2        Z/221392084123365021999765360 + Z/32760        Z/1352648072051887897922065718979794 + Z/2        Z/2899642131467552906172267747895320 + Z/348          Z/188192573616507118556129265522518195258 + Z/2          Z/50454135730375736887120858620738240 + Z/2782560           Z/26183044574691018895816434656279146975051394 + Z/2           Z/66959258068751971479284763882793332546840 + Z/291708            Z/3642820808632186767956020756266708683188159214378 + Z/2            Z/110469281432504525564845237105787891917313559600 + Z/24600
 379  Z/380        Z/380 + Z/380    Z/54439940          Z/143640 + Z/143640    Z/7819807277900           Z/54439940 + Z/54439940      Z/1123244937204690260           Z/20632736880 + Z/20632736880      Z/161344026025018913493020            Z/7819807277900 + Z/7819807277900        Z/23175617242259741753050742180             Z/2963706958323720 + Z/2963706958323720        Z/3328968836295431565149961657333740              Z/1123244937204690260 + Z/1123244937204690260         Z/478176412614312085449705642421075603700                Z/425709831200577608160 + Z/425709831200577608160           Z/68685738084332402266081168183005720790928060                 Z/161344026025018913493020 + Z/161344026025018913493020           Z/9866088104171590593902165078975124740129697322820                  Z/61149385863482168213854200 + Z/61149385863482168213854200
 383  Z/384        Z/384 + Z/384    Z/56181888          Z/146688 + Z/146688    Z/8241264822144           Z/56181888 + Z/56181888      Z/1208902895495334528           Z/21517662720 + Z/21517662720      Z/177332756837315126431104            Z/8241264822144 + Z/8241264822144        Z/26012764767708918581052067968             Z/3156404426880768 + Z/3156404426880768        Z/3815786451010453557735946798011264              Z/1208902895495334528 + Z/1208902895495334528         Z/559733898712272421930728299853474158208                Z/463009808974713123840 + Z/463009808974713123840           Z/82106805868204529300596603577206270793226624                 Z/177332756837315126431104 + Z/177332756837315126431104           Z/12044165246001054198575215182136810656387620101248                 Z/67918445868691693423112448 + Z/67918445868691693423112448
 389  Z/178 + Z/2  Z/37736 + Z/4    Z/29432122 + Z/2    Z/572455120 + Z/40     Z/4453672403618 + Z/2     Z/866238797809256 + Z/4      Z/673933762795572842 + Z/2      Z/2184668611333075680 + Z/240      Z/101980330773051786058258 + Z/2      Z/19835174335362457667307176 + Z/4       Z/15431765632913803000755412762 + Z/2       Z/23088295504628953524449564560 + Z/520        Z/2335150207338173645677027343844098 + Z/2        Z/454186715327274784562030431337299496 + Z/4          Z/353357264524619782601416058090201687882 + Z/2          Z/33690190171587523389954018966063353280 + Z/8160           Z/53470374625129990122549386475293464638241138 + Z/2           Z/10399987864587783078834092784012878263783274216 + Z/4           Z/8091190558649295235332848825397946274652262974202 + Z/2            Z/767676372515750206474262683498899629614051699600 + Z/8200
 397  Z/218 + Z/2  Z/13080 + Z/12   Z/31290194 + Z/2    Z/207004080 + Z/120    Z/4930858610858 + Z/2     Z/108752824070280 + Z/36     Z/26798195642746186 + Z/58      Z/2571063556010494560 + Z/240      Z/122485467800304838306298 + Z/2      Z/8104455119485447571357400 + Z/12       Z/19304812094610242803037809394 + Z/2       Z/297747101847721283908516080 + Z/51480        Z/3042612129419455907333534992654538 + Z/2        Z/6942051812526000095684446485856440 + Z/348          Z/479543055105671034348573660073959816194 + Z/2          Z/46661419822782206038675346145627092160 + Z/8160           Z/75580301372149706053254798506406256660023578 + Z/2           Z/555655178606359875984068404086769585353905880 + Z/108           Z/11912135718963143021346532114019834538452347035794 + Z/2           Z/15763726268094559264915238090009889795768508364400 + Z/600
 401  Z/20 + Z/20  Z/4040 + Z/40    Z/3224180 + Z/20    Z/323208080 + Z/80     Z/103686400100 + Z/100    Z/103945635140360 + Z/40     Z/83364396956408980 + Z/20      Z/1392880131641562720 + Z/480      Z/13405078387851044673620 + Z/20      Z/537543643353820332500200 + Z/200       Z/2155550009848465411479962420 + Z/20       Z/449259643424755685062895120 + Z/38480        Z/346614597133641337781440366787380 + Z/20        Z/2396421611217072044776973482219240 + Z/1160         Z/11147194766737332313707210783013400900 + Z/100         Z/27389859690328861872578865897602224320 + Z/16320          Z/8962400328430648866515452582383902145413780 + Z/20           Z/1796961265850345097736558129077829912846535240 + Z/40           Z/1441162935211976768384713366819726549056044959220 + Z/20           Z/28895316851000134206113493963024422717408101800400 + Z/400
 409  Z/104 + Z/4  Z/21008 + Z/8    Z/17102696 + Z/4    Z/116594400 + Z/240    Z/2861256041384 + Z/4     Z/585126636802448 + Z/8      Z/478633579536944936 + Z/4      Z/95961340328318400 + Z/8160       Z/80066303918732075967464 + Z/4       Z/16373559151324612500902288 + Z/8       Z/13393571385783226088832281576 + Z/4       Z/2341013118284353503986330400 + Z/9360        Z/2240490014985223203688378180866344 + Z/4        Z/458180208064478135876204073323264528 + Z/8          Z/374791410196743115323854005843826056616 + Z/4          Z/37571001659428415238721332011134204800 + Z/16320          Z/62695481889121385077047458975117107213106024 + Z/4           Z/12821226046325323248255205447345927312313873168 + Z/8           Z/10487762905894114417072815700176762424901430654056 + Z/4           Z/14298316761702309321942606978118988882514519612000 + Z/1200
