      1            2                3                   4                      5                         6                            7                               8                                  9                                     10                                       11                                          12                                             13                                                14                                                    15                                                       16                                                          17                                                             18                                                                19                                                                   20
  37  Z/6 + Z/6    Z/120 + Z/12     Z/2826 + Z/18       Z/15600 + Z/120        Z/11555286 + Z/6          Z/71271720 + Z/36            Z/15822073518 + Z/6             Z/14635327200 + Z/240              Z/2406698464374 + Z/54                Z/400715363436600 + Z/12                 Z/29652937099616958 + Z/6                   Z/1406613676899600 + Z/4680                    Z/40594870698317760246 + Z/6                      Z/751005107988900448440 + Z/12                        Z/1684072060366299832206 + Z/198                         Z/1511949989488153675200 + Z/8160                           Z/76081323471003524075065926 + Z/6                             Z/156389387134843004868830520 + Z/108                             Z/104155331831807022284221075038 + Z/6                               Z/38537472777768613698154638000 + Z/600
  41  Z/8 + Z/4    Z/208 + Z/8      Z/17288 + Z/4       Z/35360 + Z/80         Z/28969288 + Z/4          Z/593773648 + Z/8            Z/48688566088 + Z/4             Z/16635253440 + Z/480              Z/81845474751368 + Z/4                Z/1677832387870288 + Z/8                 Z/137582257773818888 + Z/4                  Z/21695663752549280 + Z/1040                   Z/231275775590831042248 + Z/4                     Z/4741153399413122066128 + Z/8                        Z/388774578748362839007688 + Z/4                         Z/558114766409805870720 + Z/114240                          Z/653530066875182115049777928 + Z/4                            Z/13397366370941398346874697168 + Z/8                             Z/1098584042417199775071279204488 + Z/4                              Z/450419457391052283551529392800 + Z/400
  43  Z/44         Z/44 + Z/44      Z/79508             Z/1848 + Z/1848        Z/147008444               Z/79508 + Z/79508            Z/271818611108                  Z/3418800 + Z/3418800              Z/502592611936844                     Z/147008444 + Z/147008444                Z/929293739471222708                        Z/6321363048 + Z/6321363048                    Z/1718264124282290785244                          Z/271818611108 + Z/271818611108                       Z/3177070365797955661914308                              Z/11688200277600 + Z/11688200277600                         Z/5874403106360420018879553644                                 Z/502592611936844 + Z/502592611936844                             Z/10861771343660416614908294685908                                   Z/21611482313284248 + Z/21611482313284248
  47  Z/48         Z/48 + Z/48      Z/103824            Z/2208 + Z/2208        Z/229345008               Z/103824 + Z/103824          Z/506623120464                  Z/4879680 + Z/4879680              Z/1119130473102768                    Z/229345008 + Z/229345008                Z/2472159215084012304                       Z/10779215328 + Z/10779215328                  Z/5460999706120583177328                          Z/506623120464 + Z/506623120464                       Z/12063348350820368238715344                             Z/23811286661760 + Z/23811286661760                         Z/26647936506962193439322192688                                Z/1119130473102768 + Z/1119130473102768                           Z/58865291743879485307462723645584                                   Z/52599132235830048 + Z/52599132235830048
  53  Z/34 + Z/2   Z/680 + Z/4      Z/5746 + Z/26       Z/197200 + Z/40        Z/209101394 + Z/2         Z/426238280 + Z/52           Z/587355170618 + Z/2            Z/5086576800 + Z/12240             Z/126913980747658 + Z/26              Z/43721867787175400 + Z/4                Z/4634517961651396138 + Z/2                 Z/134961237445106800 + Z/3640                  Z/13018360962659843998514 + Z/2                   Z/344986565514713856377960 + Z/4                      Z/255724307304265233668806 + Z/286                       Z/158344323942751176801600 + Z/24480                        Z/102721129828140704880829602274 + Z/2                         Z/209393072341979074756177597640 + Z/52                           Z/288543653687247229266636579427978 + Z/2                            Z/152928136454241023265912424346000 + Z/200
  59  Z/60         Z/60 + Z/60      Z/205380            Z/3480 + Z/3480        Z/714924300               Z/205380 + Z/205380          Z/2488651484820                 Z/12117360 + Z/12117360            Z/8662995818654940                    Z/714924300 + Z/714924300                Z/30155888444737842660                      Z/42180533640 + Z/42180533640                  Z/104972647676132430295980                        Z/2488651484820 + Z/2488651484820                     Z/365409786560616989860302900                            Z/146830437604320 + Z/146830437604320                       Z/1271991467017507741703714391420                              Z/8662995818654940 + Z/8662995818654940                           Z/4427802296687944448870629796529540                                 Z/511116753300641400 + Z/511116753300641400
  61  Z/26 + Z/2   Z/312 + Z/12     Z/8762 + Z/26       Z/115440 + Z/120       Z/422307626 + Z/2         Z/110085768 + Z/468          Z/1571369665346 + Z/2           Z/798780384480 + Z/240             Z/449774849978402 + Z/26              Z/59445242749414392 + Z/12               Z/21756958812166938386 + Z/2                Z/567168584261844240 + Z/4680                  Z/80957643715922212090826 + Z/2                   Z/823069377779609686864632 + Z/12                     Z/23172568635961507442097002 + Z/26                      Z/4503884051058507186502080 + Z/8160                        Z/1120926662627443698237450158426 + Z/2                        Z/97402459288139621965829779416 + Z/1404                          Z/4170968111636714233886733707241266 + Z/2                           Z/20685289008930045918461077585200 + Z/24600
  67  Z/68         Z/68 + Z/68      Z/300764            Z/4488 + Z/4488        Z/1350125108              Z/300764 + Z/300764          Z/6060711605324                 Z/20151120 + Z/20151120            Z/27206534396294948                   Z/1350125108 + Z/1350125108              Z/122130132904968017084                     Z/90458382168 + Z/90458382168                  Z/548242166610401428685588                        Z/6060711605324 + Z/6060711605324                     Z/2461059085914092013369600044                           Z/406067677556640 + Z/406067677556640                       Z/11047694236668359048016134593028                             Z/27206534396294948 + Z/27206534396294948                         Z/49593099428404263766544428188098204                                Z/1822837804551761448 + Z/1822837804551761448
  71  Z/72         Z/72 + Z/72      Z/357912            Z/5040 + Z/5040        Z/1804229352              Z/357912 + Z/357912          Z/9095120158392                 Z/25411680 + Z/25411680            Z/45848500718449032                   Z/1804229352 + Z/1804229352              Z/231122292121701565272                     Z/128100283920 + Z/128100283920                Z/1165087474585497590531112                       Z/9095120158392 + Z/9095120158392                     Z/5873205959385493353867330552                           Z/645753531245760 + Z/645753531245760                       Z/29606831241262271996845213307592                             Z/45848500718449032 + Z/45848500718449032                         Z/149248036287203113136096720283566232                               Z/3255243551009881200 + Z/3255243551009881200
  73  Z/20 + Z/4   Z/680 + Z/8      Z/96980 + Z/4       Z/118320 + Z/240       Z/518290100 + Z/4         Z/18916724840 + Z/8          Z/2761848650420 + Z/4           Z/1680125305440 + Z/480            Z/14717896666484180 + Z/4             Z/537203228245399400 + Z/8               Z/78431671398473015060 + Z/4                Z/66129729864316560 + Z/346320                 Z/417962376847801477542260 + Z/4                  Z/15255626754969167163368360 + Z/8                    Z/2227321506225412259652902900 + Z/4                     Z/39851585773150011642114240 + Z/16320                      Z/11869396306675024040888838184340 + Z/4                       Z/433232965193638415004339502055720 + Z/8                         Z/63252012918271206346632492495385940 + Z/4                          Z/15391323143445993570971471507919600 + Z/1200
